"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating","LocID","n","n0"
"179",12,42,79,15,"Yacht",2,"Ablative","Excellent","HA",4,2
"180",12,42,79,15,"Yacht",2,"Ablative","Excellent","IA",2,2
"181",12,42,79,15,"Yacht",2,"Ablative","Excellent","HH",1,1
"182",12,42,79,15,"Yacht",2,"Ablative","Excellent","PA",1,0
"183",12,42,79,15,"Yacht",2,"Ablative","Excellent","HD",1,1
"184",12,42,79,15,"Yacht",2,"Ablative","Excellent","IB",10,8
"185",12,42,79,15,"Yacht",2,"Ablative","Excellent","IF",1,1
"186",12,42,79,15,"Yacht",2,"Ablative","Excellent","PJ",2,2
"187",12,42,79,15,"Yacht",2,"Ablative","Excellent","PB",1,0
"188",12,42,79,15,"Yacht",2,"Ablative","Excellent","HP",2,2
"189",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","IL",2,2
"190",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","ID",1,1
"191",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","HF",1,0
"192",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","PJ",2,0
"193",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","HH",3,1
"194",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","IN",1,1
"195",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","HA",4,1
"196",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","PA",1,0
"197",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","HAB",2,2
"198",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","PN",1,1
"199",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","PM",1,1
"200",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","HD",1,1
"201",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","IB",2,0
"202",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","HR",1,0
"203",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","PB",1,0
"204",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","IH",2,2
"205",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","PH",2,0
"206",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent","HP",2,2
"207",14,44,6,12.5,"Yacht",2,"Ablative","Good","PA",1,1
"208",14,44,6,12.5,"Yacht",2,"Ablative","Good","HAB",1,0
"209",14,44,6,12.5,"Yacht",2,"Ablative","Good","HAC",1,1
"210",14,44,6,12.5,"Yacht",2,"Ablative","Good","HA",5,3
"211",14,44,6,12.5,"Yacht",2,"Ablative","Good","HY",1,1
"212",14,44,6,12.5,"Yacht",2,"Ablative","Good","HC",1,1
"213",14,44,6,12.5,"Yacht",2,"Ablative","Good","ID",1,1
"214",14,44,6,12.5,"Yacht",2,"Ablative","Good","PN",1,1
"215",14,44,6,12.5,"Yacht",2,"Ablative","Good","HD",1,1
"216",14,44,6,12.5,"Yacht",2,"Ablative","Good","IB",4,4
"217",14,44,6,12.5,"Yacht",2,"Ablative","Good","PB",1,0
"218",14,44,6,12.5,"Yacht",2,"Ablative","Good","IH",1,1
"219",14,44,6,12.5,"Yacht",2,"Ablative","Good","PH",1,0
"220",14,44,6,12.5,"Yacht",2,"Ablative","Good","IF",1,1
"221",14,44,6,12.5,"Yacht",2,"Ablative","Good","HL",1,0
"222",14,44,6,12.5,"Yacht",2,"Ablative","Good","HP",1,1
"223",14,44,6,12.5,"Yacht",2,"Ablative","Good","HX",1,1
"224",14,44,6,12.5,"Yacht",2,"Ablative","Good","II",1,1
"225",14,44,6,12.5,"Yacht",2,"Ablative","Good","PM",1,1
"226",14,44,6,12.5,"Yacht",2,"Ablative","Good","PJ",1,0
"227",15,237,435,8,"Yacht",2,"Ablative","Good","HAC",1,1
"228",15,237,435,8,"Yacht",2,"Ablative","Good","PA",1,0
"229",15,237,435,8,"Yacht",2,"Ablative","Good","HH",1,0
"230",15,237,435,8,"Yacht",2,"Ablative","Good","IB",1,0
