"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating","wetWeight","LocID","Location","LocCode","samLab","wetWeight1","wetWeight2"
"117",5,148,222,55,"Yacht",2,"Ablative","Good",0.5,"IB","Internal spaces",3,"Starboard #1 toilet inlet scraping",FALSE,TRUE
"118",5,148,222,55,"Yacht",2,"Ablative","Good",0.5,"IA","Internal spaces",3,"Starboard #1 toilet inlet water",FALSE,TRUE
"119",5,148,222,55,"Yacht",2,"Ablative","Good",0.5,"HK","Wet Hull",1,"Starboard #3 Paddle wheel",FALSE,TRUE
"120",5,148,222,55,"Yacht",2,"Ablative","Good",0.5,"HA","Wet Hull",1,"Starboard quadrat #2",FALSE,TRUE
"121",5,148,222,55,"Yacht",2,"Ablative","Good",2.53,"HA","Wet Hull",1,"Starboard quadrat #1",TRUE,FALSE
"122",5,148,222,55,"Yacht",2,"Ablative","Good",3.61,"HA","Wet Hull",1,"Starboard quadrat #3",TRUE,FALSE
"123",5,148,222,55,"Yacht",2,"Ablative","Good",6.25,"HA","Wet Hull",1,"Port quadrat #3",TRUE,FALSE
"124",5,148,222,55,"Yacht",2,"Ablative","Good",11.5,"PA","Propeller",2,"Propeller shaft",TRUE,FALSE
"125",5,148,222,55,"Yacht",2,"Ablative","Good",12.6,"HA","Wet Hull",1,"Port quadrat #1",TRUE,FALSE
"126",5,148,222,55,"Yacht",2,"Ablative","Good",21.25,"PB","Propeller",2,"Propeller surface",TRUE,FALSE
"127",5,148,222,55,"Yacht",2,"Ablative","Good",44.82,"PJ","Rudder",2,"Rudder starboard",TRUE,FALSE
"128",5,148,222,55,"Yacht",2,"Ablative","Good",81.34,"PJ","Rudder",2,"Rudder port",TRUE,FALSE
"129",6,3,78,47.5,"Yacht",2,"Ablative","Good",0,"HAC","Dry Hull",1,NA,FALSE,TRUE
"130",6,3,78,47.5,"Yacht",2,"Ablative","Good",0,"ID","Internal spaces",3,NA,FALSE,TRUE
"131",6,3,78,47.5,"Yacht",2,"Ablative","Good",0,"IH","Internal spaces",3,NA,FALSE,TRUE
"132",6,3,78,47.5,"Yacht",2,"Ablative","Good",0,"IT","Internal spaces",3,NA,FALSE,TRUE
"133",6,3,78,47.5,"Yacht",2,"Ablative","Good",0,"IU","Internal spaces",3,NA,FALSE,TRUE
"134",6,3,78,47.5,"Yacht",2,"Ablative","Good",0,"IV","Internal spaces",3,NA,FALSE,TRUE
"135",6,3,78,47.5,"Yacht",2,"Ablative","Good",0,"IW","Internal spaces",3,NA,FALSE,TRUE
"136",6,3,78,47.5,"Yacht",2,"Ablative","Good",0,"PA","Propeller",2,NA,FALSE,TRUE
"137",6,3,78,47.5,"Yacht",2,"Ablative","Good",0,"PB","Propeller",2,NA,FALSE,TRUE
"138",6,3,78,47.5,"Yacht",2,"Ablative","Good",0,"PE","Propeller",2,NA,FALSE,TRUE
"139",6,3,78,47.5,"Yacht",2,"Ablative","Good",0,"PM","Anchor",2,NA,FALSE,TRUE
"140",6,3,78,47.5,"Yacht",2,"Ablative","Good",0,"PN","Anchor",2,NA,FALSE,TRUE
"141",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"IF","Internal spaces",3,"Engine cooling intake water",FALSE,TRUE
"142",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"HP","Wet Hull",1,"Keel quadrat #2",FALSE,TRUE
"143",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"HK","Wet Hull",1,"Paddle wheel external",FALSE,TRUE
"144",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"HP","Wet Hull",1,"Port keel quadrat",FALSE,TRUE
"145",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"HA","Wet Hull",1,"Port quadrat #1",FALSE,TRUE
"146",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"HA","Wet Hull",1,"Port quadrat #2",FALSE,TRUE
"147",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"HA","Wet Hull",1,"Port quadrat #3",FALSE,TRUE
"148",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"HA","Wet Hull",1,"Starboard quadrat #1",FALSE,TRUE
"149",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"HA","Wet Hull",1,"Starboard quadrat #2",FALSE,TRUE
"150",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"HA","Wet Hull",1,"Starboard quadrat #3",FALSE,TRUE
"151",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"IB","Internal spaces",3,"Toilet inlet scraping (internal fouling)",FALSE,TRUE
"152",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"IA","Internal spaces",3,"Toilet inlet water",FALSE,TRUE
"153",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"IB","Internal spaces",3,"Toilet outlet scraping (internal fouling)",FALSE,TRUE
"154",6,3,78,47.5,"Yacht",2,"Ablative","Good",0.5,"IA","Internal spaces",3,"Toilet outlet water",FALSE,TRUE
"155",6,3,78,47.5,"Yacht",2,"Ablative","Good",14.24,"PJ","Rudder",2,"Rudder starboard",TRUE,FALSE
"156",6,3,78,47.5,"Yacht",2,"Ablative","Good",50.81,"PJ","Rudder",2,"Rudder port side",TRUE,FALSE
"157",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0,"HAB","Wet Hull",1,NA,FALSE,TRUE
"158",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0,"HAC","Dry Hull",1,NA,FALSE,TRUE
"159",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0,"IH","Internal spaces",3,NA,FALSE,TRUE
"160",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0,"II","Internal spaces",3,NA,FALSE,TRUE
"161",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0,"PA","Propeller",2,NA,FALSE,TRUE
"162",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0,"PB","Propeller",2,NA,FALSE,TRUE
